D000395,0004,0.241,0.150,0.972,0.664,1,0.0001
D000395,0004,0.241,0.150,0.972,0.664,2,0.0098
D000395,0004,0.241,0.150,0.972,0.664,3,0.3966
D000395,0004,0.241,0.150,0.972,0.664,4,0.0003
D000395,0004,0.241,0.150,0.972,0.664,5,0.0035
D000395,0004,0.241,0.150,0.972,0.664,6,0.0000
D000395,0004,0.241,0.150,0.972,0.664,7,0.0041
D000395,0004,0.241,0.150,0.972,0.664,8,0.0017
D000395,0004,0.241,0.150,0.972,0.664,9,0.0009
D000395,0004,0.241,0.150,0.972,0.664,10,0.0228
D000395,0004,0.241,0.150,0.972,0.664,11,0.0089
D000395,0004,0.241,0.150,0.972,0.664,12,0.0273
D000395,0004,0.241,0.150,0.972,0.664,13,0.3551
D000395,0004,0.241,0.150,0.972,0.664,14,0.0004
D000395,0004,0.241,0.150,0.972,0.664,15,0.0076
D000395,0004,0.241,0.150,0.972,0.664,16,0.0027
D000395,0004,0.241,0.150,0.972,0.664,17,0.0384
D000395,0004,0.241,0.150,0.972,0.664,18,0.0000
D000395,0004,0.241,0.150,0.972,0.664,19,0.0000
D000395,0004,0.241,0.150,0.972,0.664,20,0.0000
D000395,0004,0.241,0.150,0.972,0.664,21,0.0000
D000395,0004,0.241,0.150,0.972,0.664,22,0.0000
D000395,0008,0.010,0.054,1.000,0.706,1,0.0000
D000395,0008,0.010,0.054,1.000,0.706,2,0.0067
D000395,0008,0.010,0.054,1.000,0.706,3,0.5988
D000395,0008,0.010,0.054,1.000,0.706,4,0.0000
D000395,0008,0.010,0.054,1.000,0.706,5,0.0012
D000395,0008,0.010,0.054,1.000,0.706,6,0.0000
D000395,0008,0.010,0.054,1.000,0.706,7,0.0042
D000395,0008,0.010,0.054,1.000,0.706,8,0.0002
D000395,0008,0.010,0.054,1.000,0.706,9,0.0004
D000395,0008,0.010,0.054,1.000,0.706,10,0.0139
D000395,0008,0.010,0.054,1.000,0.706,11,0.0034
D000395,0008,0.010,0.054,1.000,0.706,12,0.0044
D000395,0008,0.010,0.054,1.000,0.706,13,0.3159
D000395,0008,0.010,0.054,1.000,0.706,14,0.0001
D000395,0008,0.010,0.054,1.000,0.706,15,0.0074
D000395,0008,0.010,0.054,1.000,0.706,16,0.0036
D000395,0008,0.010,0.054,1.000,0.706,17,0.2106
D000395,0008,0.010,0.054,1.000,0.706,18,0.0000
D000395,0008,0.010,0.054,1.000,0.706,19,0.0000
D000395,0008,0.010,0.054,1.000,0.706,20,0.0000
D000395,0008,0.010,0.054,1.000,0.706,21,0.0000
D000395,0008,0.010,0.054,1.000,0.706,22,0.0000
D000395,0012,0.233,0.173,0.951,0.829,1,0.0003
D000395,0012,0.233,0.173,0.951,0.829,2,0.0179
D000395,0012,0.233,0.173,0.951,0.829,3,0.0051
D000395,0012,0.233,0.173,0.951,0.829,4,0.0003
D000395,0012,0.233,0.173,0.951,0.829,5,0.2462
D000395,0012,0.233,0.173,0.951,0.829,6,0.0000
